car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Fielder package X 2004,Toyota,Fielder,2004,Automatic,Estate,"CNG, Octane",1500,65000,1050000
Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Estate,"CNG, Octane",1300,65000,570000
Toyota Probox gl 2004,Toyota,Probox,2004,Automatic,Estate,"CNG, Octane",1500,90000,530000
Toyota Spacio fun cargo HID G 2004,Toyota,Spacio,2004,Automatic,Estate,"CNG, Octane",1500,62300,668000
Toyota Succeed super fresh 2004,Toyota,Succeed,2004,Automatic,Estate,"CNG, Octane",1500,54000,655000
Toyota Wish G LTD 7 SEAT 2004,Toyota,Wish,2004,Automatic,Estate,"CNG, Octane",1800,88611,1085000
Toyota Fielder X 2005,Toyota,Fielder,2005,Automatic,Estate,"CNG, Octane",1500,59700,1030000
Toyota Fielder x 33 serial 2005,Toyota,Fielder,2005,Automatic,Estate,"CNG, Octane",1500,62000,990000
Toyota Fielder G Edition 2005,Toyota,Fielder,2005,Automatic,Estate,"CNG, Octane",1500,185000,910000
Toyota Succeed UL 2005,Toyota,Succeed,2005,Automatic,Estate,"CNG, Octane",1500,72000,780000
Toyota Fielder X 2006,Toyota,Fielder,2006,Automatic,Estate,"CNG, Octane",1500,55000,1050000
Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,"CNG, Octane",1500,73000,1025000
Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,"CNG, Octane",1500,75400,1020000
Toyota Probox 2003,Toyota,Probox,2007,Automatic,Estate,"CNG, Octane",1500,18000,560000
Toyota Fielder x 2009,Toyota,Fielder,2009,Automatic,Estate,"CNG, Octane",1500,70000,1150000
Toyota Probox 2005,Toyota,Probox,2009,Automatic,Estate,"CNG, Octane",1500,178000,670000
Toyota Fielder G PACKAGE 2010,Toyota,Fielder,2010,Automatic,Estate,"CNG, Octane",1500,55000,1240000
Toyota Probox Dx 2010,Toyota,Probox,2010,Automatic,Estate,"CNG, Octane",1500,71000,850000
Toyota Probox GL 2010,Toyota,Probox,2010,Automatic,Estate,"CNG, Octane",1500,72000,850000
Toyota Axio fielder G packeg 2011,Toyota,Axio,2011,Automatic,Estate,"CNG, Octane",1500,56000,1160000
Toyota Probox GL 2011,Toyota,Probox,2011,Automatic,Estate,"CNG, Octane",1500,75320,890000
Toyota Fielder First party 2012,Toyota,Fielder,2012,Automatic,Estate,"CNG, Octane",1500,82000,1270000
Toyota Probox GL 2012,Toyota,Probox,2012,Automatic,Estate,"CNG, Octane",1500,42000,890000
Toyota Axio Fielder G 2013,Toyota,Axio,2013,Automatic,Estate,"CNG, Octane",1500,47900,1485000
Toyota Raum 2009,Toyota,Raum,2015,Automatic,Estate,"CNG, Octane",1500,75000,1040000
Toyota Starlet white 1995,Toyota,Starlet,1995,Automatic,Hatchback,"CNG, Octane",1500,96000,280000
Toyota Starlet Soleil ep82 1995,Toyota,Starlet Soleil,1995,Automatic,Hatchback,"CNG, Octane",1331,125855,345000
Toyota duet 1999,Toyota,Other Model,1999,Automatic,Hatchback,"CNG, Octane",1000,89000,299000
Toyota Corolla wagon 2001,Toyota,Corolla,2001,Automatic,Hatchback,"CNG, Octane",1500,89000,390000
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,925000
Honda CR-V Hard Jeep Sunroof 2002,Honda,CR-V,2002,Automatic,Hatchback,"CNG, Octane",2000,82000,925000
Suzuki Alto ZEN 2003,Suzuki,Alto,2003,Manual,Hatchback,"CNG, Octane",1000,200,225000
Toyota ist G Edition 2003,Toyota,ist,2003,Automatic,Hatchback,"CNG, Octane",1500,63256,885000
Toyota Fielder very nice condition 2004,Toyota,Fielder,2004,Automatic,Hatchback,"CNG, Octane",150,63000,990000
Toyota Probox very nice condition 2004,Toyota,Probox,2004,Automatic,Hatchback,"CNG, Octane",1500,75000,595000
Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Hatchback,"CNG, Octane",1500,55000,635000
Toyota Raum G PKG 2004,Toyota,Raum,2004,Automatic,Hatchback,"CNG, Octane",1500,57580,890000
Toyota ist 2004,Toyota,ist,2005,Automatic,Hatchback,"CNG, Octane",1300,73000,700000
Toyota Succeed All Auto 1500cc 2005,Toyota,Succeed,2005,Automatic,Hatchback,"CNG, Octane",1500,64512,680000
Toyota Rush Hard Jeep 2006,Toyota,Rush,2006,Automatic,Hatchback,"CNG, Octane",1500,79000,1035000
Toyota Axio X Fielder 2009,Toyota,Axio,2009,Automatic,Hatchback,"CNG, Octane",1500,73000,1230000
Toyota Probox 2005,Toyota,Probox,2010,Automatic,Hatchback,"CNG, Octane",1300,87000,620000
Toyota Fielder X Bank Loan Car 2011,Toyota,Fielder,2011,Automatic,Hatchback,"CNG, Octane",1500,65000,970000
Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1989,Manual,MPV,"CNG, Octane",1300,274000,125000
Toyota TownAce Navan 1995,Toyota,TownAce,1995,Manual,MPV,"CNG, Octane",1500,90000,320000
Toyota Noah lucida dual ac g 1997,Toyota,Noah,1997,Automatic,MPV,"CNG, Octane",2000,79800,535000
Toyota Hiace Super GL 1998,Toyota,Hiace,1998,Manual,MPV,"CNG, Octane",2000,78643,520000
Toyota Noah Regius 1998,Toyota,Noah,1998,Automatic,MPV,"CNG, Octane",2500,100000,850000
Toyota Noah package SR40 1998,Toyota,Noah,1998,Automatic,MPV,"CNG, Octane",2000,86000,980000
Toyota Noah Super Extra Limo 2000,Toyota,Noah,2000,Automatic,MPV,"CNG, Octane",2000,65800,800000
Toyota Noah S 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,90000,965000
Toyota Noah X (All auto) 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,142088,1080000
Toyota Noah G- Edition 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,78123,1120000
Toyota Hiace dx 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,198522,460000
Toyota Hiace dx 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,298521,320000
Toyota Hiace GL Vvti Low Floor 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,274000,510000
Toyota Noah -X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,81000,1060000
Toyota Noah X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,81000,1050000
Toyota Noah GL 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1781,76000,830000
Toyota Noah X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,116000,965000
Toyota Noah GL 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1800,65000,950000
Toyota Noah Strander Roof 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1800,65000,920000
Toyota Hiace HAICE GL 2004,Toyota,Hiace,2004,Automatic,MPV,"CNG, Octane",1996,121000,1190000
Toyota Hiace Super GL 2004,Toyota,Hiace,2004,Automatic,MPV,"CNG, Octane",2000,4283,695000
Toyota Noah KR 42 GL 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,112000,865000
Toyota Noah GL 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,95000,950000
Toyota Noah sun roof 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,81644,1035000
Toyota Probox succeed 2004,Toyota,Other Model,2004,Automatic,MPV,"CNG, Octane",1500,55000,650000
Toyota Sienta 7 SEAT 2004,Toyota,Sienta,2004,Automatic,MPV,"CNG, Octane",1500,73000,790000
Toyota Hiace Super GL 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",1990,89000,1490000
Toyota Hiace Central AC 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",2000,96000,1195000
Toyota Hiace Gl 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",2000,174596,1355000
Mitsubishi l300 WHITE 2005,Mitsubishi,l300,2005,Manual,MPV,"CNG, Octane",2000,85100,475000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,94000,1090000
Toyota Noah g edition 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,52345,1330000
Toyota Noah KR42 GL Stander Roof 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",1800,85000,1035000
Toyota Noah X (All Auto) 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,152368,1300000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,38000,1280000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,68700,1290000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,69800,1295000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,38125,1280000
Toyota Noah DX KR 42 Low Floor 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",1800,68000,860000
Toyota x-Noah 2005,Toyota,Other Model,2005,Automatic,MPV,"CNG, Octane",2000,55000,1220000
Toyota Noah GL 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,70000,1050000
Toyota Noah kr 42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,53423,1180000
Toyota Noah KR42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,77000,900000
Toyota Noah KR42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,127000,1080000
Toyota Noah KR42 5 Door GL 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,81000,1135000
Toyota Noah DX 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,85000,1325000
Toyota Noah NOHA KR 42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,68580,1190000
Mazda MPV 2005,Mazda,MPV,2007,Automatic,MPV,"CNG, Octane",2000,50000,950000
Toyota Noah x 2007,Toyota,Noah,2007,Automatic,MPV,"CNG, Octane",2000,85000,1395000
Toyota Hiace GL 5 Door 2008,Toyota,Hiace,2008,Automatic,MPV,"CNG, Octane",2000,85000,1570000
Toyota Noah TOWN ACE GL SILVER 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",1500,75500,645000
Toyota Noah x si new shape red 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",1998,63200,1598000
Toyota Noah X Smart 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",2000,75000,1660000
Toyota TownAce GL 2008,Toyota,TownAce,2008,Automatic,MPV,"CNG, Octane",1500,71000,645000
Toyota Dyna pikup 2009,Toyota,Dyna,2009,Automatic,MPV,"CNG, Octane",1500,86764,1220000
Toyota Hiace New Engine 2009,Toyota,Hiace,2009,Automatic,MPV,"CNG, Octane",1998,56000,1800000
Toyota Hiace 2004,Toyota,Hiace,2009,Automatic,MPV,"CNG, Octane",1998,283500,850000
Toyota Noah X 2009,Toyota,Noah,2009,Automatic,MPV,"CNG, Octane",2000,76585,1765000
Toyota TownAce Noah 2009,Toyota,TownAce,2009,Automatic,MPV,"CNG, Octane",1500,89000,720000
Toyota Avanza super Fresh-G 2010,Toyota,Avanza,2010,Automatic,MPV,"CNG, Octane",1500,68452,1285000
Toyota Hiace Super GL 2010,Toyota,Hiace,2010,Automatic,MPV,"CNG, Octane",2000,72000,1795000
Toyota Hiace 2005,Toyota,Hiace,2010,Automatic,MPV,"CNG, Octane",2000,69000,1195000
Nissan Urvan Dx (১৫ সিট) 2010,Nissan,Urvan,2010,Manual,MPV,"CNG, Octane",2400,84652,1030000
Toyota Hiace Super GL 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",2000,79831,2135000
Toyota Hiace Black Color 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",1500,64000,2150000
Toyota Hiace সুপার জিয়েল 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",2000,64000,2150000
Toyota LiteAce lite ace 2011,Toyota,LiteAce,2011,Automatic,MPV,"CNG, Octane",1500,95000,440000
Toyota Noah X G Edition 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,56230,2045000
Toyota Noah X 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,94585,1965000
Toyota Noah X SMART PKG. 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,73388,2065000
Toyota Hiace GL duelac loan 2012,Toyota,Hiace,2012,Automatic,MPV,"CNG, Octane",2000,75000,1320000
Toyota LiteAce NOAH -GL 2012,Toyota,LiteAce,2012,Automatic,MPV,"CNG, Octane",1500,56000,850000
Toyota Noah NOHA SI G PKG 2012,Toyota,Noah,2012,Automatic,MPV,"CNG, Octane",2000,65480,2290000
Toyota Hiace Super GL 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,55000,2420000
Toyota Hiace Ambulance Bank loan 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,65000,900000
Toyota Hiace Super GLকিস্তি আছে12 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,68000,2050000
Toyota Noah X HID LTD KIK 2013,Toyota,Noah,2013,Automatic,MPV,"CNG, Octane",1996,62500,2265000
Toyota Hiace GL 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,48990,2295000
Toyota Hiace Super gl 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,65199,2620000
Toyota Hiace Super GL Push Start 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,65000,2700000
Toyota Corolla 2004,Toyota,Corolla,2004,Automatic,null,"CNG, Octane",1500,54000,960000
Toyota Noah 2007,Toyota,Noah,2007,Automatic,null,"CNG, Octane",2000,150000,1750000
Toyota Cressida 1983,Toyota,Other Model,1983,Manual,Saloon,"CNG, Octane",2000,122000,260000
Toyota Carina Mira Road 1990,Toyota,Carina,1990,Automatic,Saloon,"CNG, Octane",1600,298521,180000
Toyota Corolla ৯০ 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1331,285214,290000
Toyota Corolla 90sprinter 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1300,120000,140000
Toyota Corolla 90. 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1331,99000,260000
Toyota Corolla EE 90 1500cc 1990,Toyota,Corolla,1990,Manual,Saloon,"CNG, Octane",1500,274000,160000
Toyota Corolla 1989,Toyota,Corolla,1990,Manual,Saloon,"CNG, Octane",1300,280000,240000
Toyota Carina Myroad 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,125000,250000
Toyota Carina my road 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,100000,135000
Toyota Carina DX 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,99564,260000
Toyota Corolla 100 Lx limited 1991,Toyota,Corolla,1991,Automatic,Saloon,"CNG, Octane",1500,135000,365000
Toyota Sprinter EE 90 1991,Toyota,Sprinter,1991,Manual,Saloon,"CNG, Octane",1300,134000,160000
Toyota Carina Myroad 1992,Toyota,Carina,1992,Automatic,Saloon,"CNG, Octane",1500,69000,250000
Toyota Corolla Ae 100 1992,Toyota,Corolla,1992,Automatic,Saloon,"CNG, Octane",1490,88000,430000
Toyota Corolla Se Limited All Auto 1992,Toyota,Corolla,1992,Automatic,Saloon,"CNG, Octane",1500,293000,360000
Toyota Mark II All Auto 1992,Toyota,Mark II,1992,Automatic,Saloon,"CNG, Octane",2000,114000,155000
Toyota Sprinter a100 1992,Toyota,Sprinter,1992,Automatic,Saloon,"CNG, Octane",1331,198521,265000
Toyota Sprinter 100 1992,Toyota,Sprinter,1992,Automatic,Saloon,"CNG, Octane",1331,95000,280000
Toyota Carina ed 1993,Toyota,Carina,1993,Automatic,Saloon,"CNG, Octane",1900,120000,230000
Toyota Corolla AE110 1993,Toyota,Corolla,1993,Automatic,Saloon,"CNG, Octane",1500,195000,495000
Toyota Corsa G 1993,Toyota,Corsa,1993,Automatic,Saloon,"CNG, Octane",1331,149967,395000
Toyota AC Limited 1993,Toyota,Other Model,1993,Automatic,Saloon,"CNG, Octane",1500,95000,330000
Toyota Carina SX 1994,Toyota,Carina,1994,Automatic,Saloon,"CNG, Octane",1500,91000,465000
Toyota Corona option auto 1994,Toyota,Corona,1994,Automatic,Saloon,"CNG, Octane",1500,95000,395000
Toyota Carina Sx documents update 1995,Toyota,Carina,1995,Automatic,Saloon,"CNG, Octane",1500,80000,364000
Toyota Corolla 110 1995,Toyota,Corolla,1995,Automatic,Saloon,"CNG, Octane",1331,150000,380000
Toyota Corolla AE-100 LX Limited 1995,Toyota,Corolla,1995,Automatic,Saloon,"CNG, Octane",1500,85000,430000
Toyota Corolla 1990,Toyota,Corolla,1995,Manual,Saloon,"CNG, Octane",1500,134000,270000
Toyota Corsa S 1995,Toyota,Corsa,1995,Automatic,Saloon,"CNG, Octane",1331,120000,330000
Toyota Corsa ax 1995,Toyota,Corsa,1995,Automatic,Saloon,"CNG, Octane",1331,150000,320000
Toyota Vista 1995,Toyota,Other Model,1995,Automatic,Saloon,"CNG, Octane",1830,70000,400000
Toyota Corolla Hundred 111 1996,Toyota,Corolla,1996,Automatic,Saloon,"CNG, Octane",1331,40000,365000
Toyota Corona PREMIO RED 1996,Toyota,Corona,1996,Automatic,Saloon,"CNG, Octane",1600,78000,499000
Toyota Corona Premio 1996,Toyota,Corona,1996,Automatic,Saloon,"CNG, Octane",1586,86025,495000
Toyota Carina T.I-SUPER FRESH 1997,Toyota,Carina,1997,Automatic,Saloon,"CNG, Octane",1500,78000,635000
Toyota Corolla 111 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,96000,420000
Toyota Corolla 111 SE 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,75400,499000
Toyota Corolla 110 XE Saloon 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,117328,550000
Toyota Corolla XE-Saloon 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,68452,555000
Toyota Corolla AE 110 XE SALOON 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,79000,545000
Toyota Corolla 110-SE vintage 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,69000,550000
Toyota Corolla 2002 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,280000,450000
Toyota Corolla Color Gery 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,65000,650000
Toyota Corolla Octane&CNG 110 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,56000,650000
Toyota Corolla SE Saloon 110 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,850000,575000
Toyota Corona primio 1997,Toyota,Corona,1997,Automatic,Saloon,"CNG, Octane",1580,95000,420000
Toyota Corona Premio 1997,Toyota,Corona,1997,Automatic,Saloon,"CNG, Octane",1600,95000,490000
Toyota Carina TI 1998,Toyota,Carina,1998,Automatic,Saloon,"CNG, Octane",1500,70000,650000
Toyota Corolla 110 1998,Toyota,Corolla,1998,Automatic,Saloon,"CNG, Octane",1500,125885,570000
Toyota Corolla 1998,Toyota,Corolla,1998,Automatic,Saloon,"CNG, Octane",1331,50000,540000
Toyota Carina 1994,Toyota,Carina,1999,Automatic,Saloon,"CNG, Octane",1500,136000,395000
Toyota Corolla option auto 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1500,96000,565000
Toyota Corolla 110 XE SELON G 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1331,57000,385000
Toyota Corolla xe salon-1999 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1331,87965,485000
Toyota Corolla XE-Saloon 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1500,72458,635000
Toyota Corolla Se Salon 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,74500,595000
Toyota Corolla XE- Saloon 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,75000,625000
Toyota Corolla white 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1600,152000,580000
Toyota Corolla 110 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,95000,675000
Toyota Corolla 110 L-SELECTION 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,82500,700000
Toyota Corona premio 2000,Toyota,Corona,2000,Automatic,Saloon,"CNG, Octane",1500,75000,730000
Toyota Sprinter nice conditions 2000,Toyota,Sprinter,2000,Automatic,Saloon,"CNG, Octane",1331,75000,650000
Toyota Sprinter -Vintage 2000,Toyota,Sprinter,2000,Automatic,Saloon,"CNG, Octane",1331,75000,650000
Toyota Vista 1994,Toyota,Vista,2000,Automatic,Saloon,"CNG, Octane",1800,198000,485000
Toyota Corolla 100 Wagon 2001,Toyota,Corolla,2001,Automatic,Saloon,"CNG, Octane",1331,97846,350000
Toyota Corona G 2001,Toyota,Corona,2001,Automatic,Saloon,"CNG, Octane",1600,95000,510000
Toyota Corsa 1996,Toyota,Corsa,2001,Manual,Saloon,"CNG, Octane",1331,82000,350000
Toyota Allion A15 2002,Toyota,Allion,2002,Automatic,Saloon,"CNG, Octane",1500,115221,950000
Toyota Corolla x 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,90000,780000
Toyota Corolla G 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,85749,925000
Toyota Corolla x 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,65000,850000
Toyota Corolla G 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,72000,890000
Toyota Premio F 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,68532,970000
Toyota Premio FL Limited 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,63000,1130000
Toyota Premio F 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,218609,1200000
Toyota Allion a15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,56745,1190000
Toyota Allion g plus red wine 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,63200,995000
Toyota Allion A15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,69500,1045000
Toyota Allion Super fresh-A15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,68448,1085000
Toyota Corolla 100 WAGON 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,78500,465000
Toyota Corolla X 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,65732,927000
Toyota Corolla G 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,104500,900000
Toyota Corolla x white 2003,Toyota,Corolla,2003,Automatic,Saloon,"CNG, Octane",1500,92000,840000
Toyota Crown hi great super delax 2003,Toyota,Crown,2003,Automatic,Saloon,"CNG, Octane",1984,62300,1045000
Mitsubishi Lancer GLX 2003,Mitsubishi,Lancer,2003,Automatic,Saloon,"CNG, Octane",1300,57000,620000
Toyota Premio option auto 2003,Toyota,Premio,2003,Automatic,Saloon,"CNG, Octane",1500,82000,1110000
Toyota Probox all option auto 2003,Toyota,Probox,2003,Automatic,Saloon,"CNG, Octane",1500,96000,625000
Toyota X Assista সাদা 2003,Toyota,X Assista,2003,Automatic,Saloon,"CNG, Octane",1331,67000,765000
Toyota Allion white 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,76000,1080000
Toyota Allion A15-SILVER 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,75000,1095000
Toyota Allion g 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,85000,995000
Toyota Allion Octane&CNG 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,65000,1195000
Toyota Allion package G 2004,Toyota,Allion,2004,Automatic,Saloon,"CNG, Octane",1500,65000,1195000
Toyota Corolla Sunroof Edition 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,85000,1095000
Toyota Corolla X New Shape 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,69000,985000
Toyota Corolla super fresh 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1331,68425,955000
Toyota Corolla X 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,78965,990000
Toyota Corolla X 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,68000,960000
Toyota Corolla সাদা 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1500,68000,965000
Toyota Corolla X-Assista 2004,Toyota,Corolla,2004,Automatic,Saloon,"CNG, Octane",1331,75500,870000
Honda Fit G 2004,Honda,Fit,2004,Automatic,Saloon,"CNG, Octane",1300,46000,655000
Toyota ist g edition 2004,Toyota,ist,2004,Automatic,Saloon,"CNG, Octane",1331,63422,785000
